Q2025,211-128-3
Q15627923,237-387-2
Q15627974,240-181-5
Q15634118,200-068-3
Q15634280,235-245-4
Q15633921,245-096-7
Q15712394,218-787-6
Q15720590,208-932-1
Q15725548,214-181-0
Q15726050,218-518-2
Q15726025,220-399-7
Q15725536,224-077-7
Q15730236,232-045-9
Q15725529,237-490-2
Q15725556,237-703-9
Q15725614,249-204-3
Q15845857,240-832-3
Q15906443,210-410-3
Q15927659,219-474-7
Q16512783,233-000-6
Q16636009,239-097-1
Q16635966,240-977-2
Q16682763,237-041-0
Q16681088,244-575-8
Q16695989,238-634-7
Q16706149,218-244-3
Q16714121,233-574-8
Q16705321,234-617-3
Q16747480,205-632-2
Q16801494,257-048-2
Q16830195,233-270-5
Q17134166,237-051-5
Q17189420,207-652-7
Q17266375,242-860-1
Q17318503,251-735-0
Q17355409,234-433-3
Q18002958,235-715-9
Q18049954,207-300-2
Q18130802,221-054-3
Q18212209,208-865-8
Q18211648,209-054-1
Q18211597,209-239-7
Q18211759,211-367-3
Q18212352,215-190-2
Q18211789,215-568-7
Q18212200,222-264-8
Q18212202,228-069-4
Q18212171,233-051-4
Q18211710,233-824-6
Q18211558,234-643-5
Q18212253,234-768-5
Q18212782,234-956-7
Q18212011,235-033-1
Q18211692,235-100-5
Q18212142,235-229-7
Q18212126,235-307-0
Q18211703,236-999-7
Q18211787,237-080-3
Q18211646,237-361-0
Q18212010,237-411-1
Q18212000,238-034-5
Q18212173,238-370-2
Q18212008,238-426-6
Q18212009,239-125-2
Q18211564,239-320-2
Q18212121,239-793-5
Q18212358,240-513-9
Q18211654,243-842-6
Q18212023,244-341-5
Q18211761,245-523-7
Q18212219,246-848-7
Q18211622,247-245-1
Q18211765,258-729-7
Q18406707,213-610-9
Q18401832,231-570-0
Q18575704,239-785-1
Q18611668,203-971-0
Q19949845,200-628-7
Q20080376,241-866-1
Q20078502,606-722-8
Q20670641,203-124-5
Q20856130,209-357-9
Q20856197,209-415-3
Q20979795,237-498-6
Q20979789,247-244-6
Q20979785,266-278-2
Q20986785,235-072-4
Q20984959,237-949-7
Q21009595,202-969-7
Q21014271,205-213-4
Q21009969,234-872-0
Q21099587,215-143-6
Q21198615,210-329-3
Q21209316,228-393-6
Q21600820,613-572-7
Q21705003,230-072-0
Q906536,230-415-4
Q5681276,201-447-6
Q11066172,205-250-6
Q11066173,206-107-0
Q11066173,241-076-7
Q11066173,269-090-9
Q22131870,240-014-6
Q22137252,236-187-2
Q22289655,234-599-7
Q15628150,237-704-4
Q22289678,236-908-0
Q22289659,236-688-6
Q17190515,212-053-9
Q17190955,224-862-4
Q17333339,233-433-0
Q17455907,235-504-1
Q17488178,240-514-4
Q18002898,231-827-7
Q18002870,254-642-3
Q18056605,254-398-8
Q18205048,213-763-1
Q18211477,215-145-7
Q18211728,215-201-0
Q18211607,216-445-0
Q18211505,217-006-6
Q18212477,218-038-3
Q18211901,227-579-4
Q18211889,228-244-5
Q18212254,233-027-3
Q417970,233-108-3
Q18212226,233-108-3
Q18212141,233-259-5
Q18212174,233-340-5
Q18212252,234-760-1
Q18211735,234-784-2
Q18212218,234-810-2
Q18211543,234-813-9
Q18211679,235-191-1
Q18211771,235-446-7
Q18212018,235-503-6
Q18212198,235-556-5
Q18211983,235-676-8
Q18211989,235-773-5
Q18212478,235-972-7
Q18212165,236-482-6
Q18211484,236-635-7
Q18211718,237-413-2
Q18211655,237-564-4
Q18211774,237-951-8
Q18212210,238-232-1
Q18211741,238-522-8
Q18211448,239-070-4
Q18211634,239-124-7
Q18211890,239-215-1
Q18211406,239-444-7
Q18211766,239-796-1
Q18211346,240-085-3
Q18212003,243-867-2
Q18212138,244-008-4
Q18211907,247-246-7
Q18391807,202-058-4
Q18406965,239-636-0
Q18651888,211-095-5
Q18919131,251-114-4
Q19630814,203-776-0
Q20107470,238-437-6
Q20680358,607-880-0
Q20754663,231-525-5
Q20885557,235-479-7
Q20986207,220-966-9
Q20973571,222-175-4
Q20981035,235-574-3
Q20986152,235-608-7
Q20986161,236-822-3
Q20980337,237-536-1
Q21012199,218-638-5
Q21001740,234-953-0
Q153,200-578-6
Q2270,200-753-7
Q2314,231-598-3
Q2462,233-109-9
Q2447,233-113-0
Q4118,231-639-5
Q5319,215-540-4
Q6070,237-385-1
Q14982,200-659-6
Q16392,200-661-7
Q23118,200-033-2
Q25807,203-469-1
Q25792,207-337-4
Q27506,235-025-8
Q33103,212-828-1
Q32693,244-848-1
Q36933,233-069-2
Q45044,231-923-9
Q48318,200-315-5
Q48832,285-377-1
Q58447,206-114-9
Q59081,203-691-9
Q61457,200-836-8
Q80260,206-016-6
Q80863,200-283-2
Q83253,203-051-9
Q82427,203-622-2
Q86512,269-797-2
Q112356,232-254-5
Q116269,231-545-4
Q118040,206-033-9
Q121874,231-659-4
Q127060,200-419-0
Q126258,232-017-6
Q125986,251-793-7
Q128540,231-717-9
Q132621,200-098-7
Q131994,202-045-3
Q132037,259-715-3
Q134658,200-441-0
Q134192,203-448-7
Q139347,200-673-2
Q138673,201-121-3
Q139857,203-743-0
Q138227,234-933-1
Q143200,231-299-8
Q150429,203-692-4
Q148937,246-585-8
Q150681,203-892-1
Q150900,209-790-3
Q150911,211-116-8
Q161284,200-864-0
Q161287,200-867-7
Q161270,201-074-9
Q161461,201-155-9
Q161271,201-191-5
Q161249,201-196-2
Q161465,202-479-3
Q161301,202-486-1
Q161589,203-445-0
Q161679,203-455-5
Q161532,204-661-8
Q161612,208-749-7
Q161523,211-043-1
Q161453,216-769-2
Q161494,229-791-2
Q161645,248-939-7
Q239816,248-939-7
Q161664,271-211-5
Q164403,238-887-3
Q172275,200-663-8
Q170591,231-977-3
Q172290,233-334-2
Q411214,233-334-2
Q172411,239-934-0
Q174727,244-654-7
Q177342,215-691-6
Q177836,231-818-8
Q177570,232-940-4
Q178450,200-291-6
Q178430,200-294-2
Q179724,202-049-5
Q179678,205-538-1
Q179731,205-633-8
Q179894,209-965-4
Q179619,215-147-8
Q182990,200-621-9
Q182329,229-347-8
Q182040,245-261-3
Q183290,200-274-3
Q184832,205-634-3
Q185253,218-249-0
Q184373,231-554-3
Q186414,200-539-3
Q185906,200-735-9
Q186521,200-774-1
Q187921,201-004-7
Q185929,201-375-5
Q186600,209-906-2
Q186357,243-815-9
Q189334,201-084-3
Q189298,201-865-9
Q188314,204-116-4
Q188543,235-186-4
Q190143,230-022-8
Q199678,200-066-2
Q192423,202-713-4
Q193054,231-915-5
Q194207,203-473-3
Q197663,215-061-0
Q197523,235-184-3
Q201552,232-684-3
Q204873,233-786-0
Q204980,244-499-5
Q207722,206-026-0
Q205630,233-058-2
Q209226,200-087-7
Q209360,200-858-8
Q209428,200-908-9
Q209345,201-174-2
Q209178,201-193-6
Q209177,201-542-2
Q209191,201-743-5
Q209195,202-453-1
Q209216,202-551-4
Q209425,205-289-9
Q208130,207-949-1
Q208118,208-294-4
Q209130,208-759-1
Q210021,200-258-6
Q210385,203-809-9
Q211086,231-595-7
Q213050,203-740-4
Q213580,204-824-3
Q207895,233-272-6
Q213788,233-272-6
Q214863,231-753-5
Q216918,232-033-3
Q223107,202-481-4
Q223062,203-446-6
Q223065,222-048-3
Q229848,202-974-4
Q229969,205-257-4
Q256982,208-065-9
Q259311,231-779-7
Q264552,208-407-7
Q271943,201-143-3
Q281419,232-197-6
Q286326,200-915-7
Q283711,202-544-6
Q285621,202-684-8
Q286064,221-838-5
Q288188,200-888-1
Q290452,218-894-8
Q303489,206-156-8
Q304581,209-099-7
Q306565,208-704-1
Q313120,215-719-7
Q327362,229-999-3
Q327506,222-311-2
Q361627,236-710-4
Q367871,231-846-0
Q369777,203-931-2
Q372539,207-987-9
Q377552,202-567-1
Q375112,202-708-7
Q378611,201-771-8
Q381866,229-880-6
Q399771,231-729-4
Q407411,200-574-4
Q407225,200-857-2
Q407646,201-770-2
Q407290,202-716-0
Q407775,203-564-8
Q408120,204-265-5
Q408022,204-697-4
Q407786,205-348-9
Q408190,205-745-7
Q407569,208-401-4
Q408228,214-559-5
Q407510,215-211-5
Q403721,231-834-5
Q407666,233-020-5
Q407684,242-940-6
Q408221,421-960-0
Q408626,200-296-3
Q409251,200-540-9
Q410911,200-548-2
Q409367,200-549-8
Q409648,200-611-4
Q410278,200-658-0
Q409298,200-679-5
Q410116,200-927-2
Q410382,201-114-5
Q410932,201-134-4
Q409013,201-178-4
Q410846,202-196-5
Q411424,202-327-6
Q409804,202-592-8
Q409755,202-635-0
Q409184,202-849-4
Q410056,203-102-5
Q410842,203-148-6
Q410938,203-310-6
Q409292,203-808-3
Q410243,203-815-1
Q409622,203-817-2
Q409853,204-598-6
Q409564,204-677-5
Q411773,204-704-0
Q410537,204-771-6
Q410871,204-818-0
Q408389,205-149-7
Q410830,205-334-2
Q409054,206-215-8
Q411202,206-373-8
Q408915,207-667-9
Q411605,208-050-7
Q411523,208-060-1
Q411310,208-290-2
Q409150,208-296-5
Q411500,208-843-8
Q411260,209-943-4
Q411256,215-116-9
Q411844,215-150-4
Q411221,215-215-7
Q409173,215-239-8
Q409669,217-615-7
Q411562,218-743-6
Q410588,219-570-9
Q411092,219-574-0
Q411746,220-120-9
Q409516,227-193-6
Q409701,231-439-8
Q411848,231-845-5
Q408925,231-965-8
Q409314,231-978-9
Q411266,231-981-5
Q411752,231-995-1
Q411381,232-021-8
Q411017,232-149-4
Q411320,232-158-3
Q409473,233-045-1
Q409021,233-072-9
Q411155,234-391-6
Q412216,235-023-7
Q409279,235-237-0
Q409574,240-877-9
Q411467,241-010-7
Q409505,241-275-9
Q408234,257-074-4
Q411635,258-067-9
Q414547,200-198-0
Q412556,200-271-7
Q413968,200-433-7
Q416253,200-541-4
Q416321,200-853-0
Q413018,200-887-6
Q415329,200-899-1
Q412388,201-501-9
Q412403,201-964-7
Q412293,202-007-6
Q412424,202-345-4
Q412429,202-627-7
Q413787,203-376-6
Q413465,203-474-9
Q412303,203-600-2
Q414196,203-716-3
Q413531,204-011-3
Q413684,204-134-2
Q416626,204-450-0
Q415253,204-506-4
Q416160,204-535-2
Q416036,204-647-1
Q415646,204-650-8
Q414384,204-699-5
Q412432,205-293-0
Q415945,205-776-6
Q412340,206-117-5
Q412413,206-876-2
Q414555,206-992-3
Q413166,207-560-7
Q412276,207-776-1
Q416446,207-850-3
Q415536,207-975-3
Q412435,208-080-0
Q415911,208-242-0
Q19952843,208-577-2
Q414317,208-713-0
Q414350,208-764-9
Q412931,209-053-6
Q412299,210-076-9
Q413849,213-026-4
Q413572,214-046-6
Q412739,215-176-6
Q414669,215-695-8
Q413411,216-561-1
Q413629,216-643-7
Q412346,216-653-1
Q414854,217-250-3
Q414456,217-778-4
Q414509,218-235-4
Q413116,218-996-2
Q414825,221-266-6
Q413164,223-893-0
Q414789,228-783-6
Q413987,231-755-6
Q415226,231-781-8
Q414632,231-873-8
Q414732,232-013-4
Q415520,232-201-6
Q415500,233-043-0
Q413709,233-054-0
Q413036,233-057-7
Q415804,233-657-9
Q415872,233-658-4
Q415489,234-788-4
Q413258,235-037-3
Q412491,235-108-9
Q413982,235-183-8
Q412328,236-840-1
Q412415,239-733-8
Q413278,241-023-8
Q416120,251-233-1
Q414231,610-549-3
Q419406,200-309-2
Q420127,200-550-3
Q418725,200-635-5
Q417682,200-783-0
Q420183,200-900-5
Q419702,200-938-2
Q418057,201-070-7
Q417525,201-160-6
Q419678,201-187-3
Q417316,201-188-9
Q416775,201-234-8
Q421348,202-077-8
Q419829,202-223-0
Q421145,202-510-0
Q419842,202-810-1
Q417646,202-966-0
Q419817,203-305-9
Q419742,203-614-9
Q420835,203-700-6
Q419572,203-703-2
Q416728,203-865-4
Q421259,204-259-2
Q416929,204-262-9
Q421048,204-729-7
Q420409,204-841-6
Q419173,205-331-6
Q419150,205-354-1
Q420215,205-631-7
Q420614,205-881-7
Q418111,205-996-2
Q421197,206-052-2
Q418348,206-397-9
Q419723,206-537-9
Q420639,207-385-6
Q417746,207-649-0
Q420109,207-814-7
Q417298,208-048-6
Q418080,208-561-5
Q417321,208-645-1
Q421133,208-849-0
Q419714,208-853-2
Q419695,208-883-6
Q416969,208-914-3
Q420705,208-953-6
Q420423,209-161-3
Q416750,209-254-9
Q420839,209-719-6
Q419478,209-720-1
Q421041,209-800-6
Q420701,210-792-1
Q419800,210-871-0
Q420710,211-144-0
Q419124,211-363-1
Q418541,211-617-1
Q417529,212-052-3
Q419921,212-755-5
Q419140,213-455-7
Q418951,213-693-1
Q418071,213-879-2
Q417362,214-490-0
Q418209,214-620-6
Q418054,215-039-0
Q418679,215-192-3
Q418425,215-212-0
Q421063,215-218-3
Q418413,215-219-9
Q419633,218-548-6
Q419578,219-196-6
Q418288,220-695-6
Q420723,221-297-5
Q417819,223-098-9
Q420449,225-004-1
Q417896,225-124-4
Q419375,231-303-8
Q421255,231-561-1
Q417103,231-601-8
Q421260,231-744-6
Q418498,231-835-0
Q420720,231-976-8
Q417415,232-019-7
Q419396,232-027-0
Q419586,232-070-5
Q420768,232-115-9
Q419900,232-156-2
Q421120,232-162-5
Q418909,232-240-9
Q417157,232-283-3
Q420989,233-034-1
Q417510,233-059-8
Q419602,233-062-4
Q420489,233-164-9
Q416861,233-278-9
Q421264,234-176-7
Q419661,234-687-5
Q421340,235-044-1
Q419581,236-620-5
Q421222,237-601-4
Q420669,238-676-6
Q417044,239-056-8
Q420070,239-707-6
Q419324,242-855-4
Q416759,243-813-8
Q420301,247-148-4
Q422884,200-123-1
Q423185,200-162-4
Q422573,200-407-5
Q423314,200-521-5
Q422709,200-817-4
Q423000,200-892-3
Q421458,201-083-8
Q15627913,232-214-7
Q15628104,233-150-2
Q15628158,233-274-7
Q15628253,235-009-0
Q15628005,235-194-8
Q15630020,235-256-4
Q15627977,236-765-4
Q15628085,236-874-7
Q15617477,237-481-3
Q15630566,239-626-6
Q15628260,239-697-3
Q15628189,240-517-0
Q15627970,242-749-8
Q15628366,244-904-5
Q15627996,245-612-0
Q15633290,207-425-2
Q15632880,211-161-3
Q15632829,215-153-0
Q15632783,235-759-9
Q15632886,237-355-8
Q15632734,237-471-9
Q15633953,239-334-9
Q15638338,259-461-3
Q15633919,264-498-3
Q15726045,203-339-4
Q15726051,216-032-5
Q15726006,222-492-8
Q15910408,208-944-7
Q16070571,222-754-1
Q16635996,240-991-9
Q16682856,205-525-0
Q16686574,234-591-3
Q16685924,236-653-5
Q16701694,234-585-0
Q16705822,237-224-5
Q16715969,234-586-6
Q16712736,234-610-5
Q16712479,244-182-1
Q16744025,204-820-1
Q16833215,238-446-5
Q16912105,208-706-2
Q16912815,238-663-5
Q17057219,227-586-2
Q17057347,234-761-7
Q17057352,235-306-5
Q17093626,204-152-0
Q17119109,234-966-1
Q17148332,218-107-8
Q17148769,233-241-7
Q17189267,202-218-3
Q17300223,207-356-8
Q17355205,249-330-9
Q17487944,213-699-4
Q17563012,221-096-2
Q18002874,222-101-0
Q18009064,234-454-8
Q18056539,234-952-5
Q18086400,235-335-3
Q18212116,205-778-7
Q18211657,209-011-7
Q18212113,211-540-3
Q18211805,214-307-4
Q18211552,215-252-9
Q18211853,221-543-1
Q18211906,233-153-9
Q18211971,234-439-6
Q18211986,234-495-1
Q18211893,234-532-1
Q18212177,234-641-4
Q18212144,234-644-0
Q18211626,234-753-3
Q18211888,234-817-0
Q18212110,234-824-9
Q18211629,235-021-6
Q18212108,235-098-6
Q18212146,235-260-6
Q18211423,235-597-9
Q18211791,235-662-1
Q18211686,235-771-4
Q18211724,236-595-0
Q18211651,236-634-1
Q18212201,236-846-4
Q18212007,237-124-1
Q18211799,237-161-3
Q18211802,237-378-3
Q18211990,238-032-4
Q18212099,239-481-9
Q18211668,242-566-3
Q18211870,245-272-3
Q18212133,252-726-4
Q18211804,257-974-7
Q18212206,209-133-0
Q18212244,235-001-7
Q18212335,235-010-6
Q18212213,235-020-0
Q18212338,240-516-5
Q18212357,243-787-8
Q18212228,262-166-2
Q18467085,212-299-7
Q18747523,243-903-7
Q19615023,235-161-8
Q19614478,235-222-9
Q15992714,236-769-6
Q19839213,236-769-6
Q20033560,203-973-1
Q20670642,237-046-8
Q20980312,233-513-5
Q20979796,237-500-5
Q20980615,237-609-8
Q20979797,238-520-7
Q20986195,209-499-1
Q20986211,215-191-8
Q20986112,217-625-1
Q20986163,238-231-6
Q21010314,234-879-9
Q21009987,235-068-2
Q21034660,229-194-7
Q7739,215-481-4
Q15779,203-625-9
Q19484,211-517-8
Q26075,200-821-6
Q27267,217-046-4
Q28746,205-663-1
Q29145,231-838-7
Q31153,236-610-0
Q33495,204-465-2
Q36200,215-227-2
Q47512,200-580-7
Q60235,200-362-1
Q79739,202-509-5
Q79566,233-822-5
Q80294,232-674-9
Q84062,203-896-3
Q83763,210-790-0
Q86495,206-031-8
Q102769,215-185-5
Q111812,202-086-7
Q115493,210-036-0
Q121430,215-186-0
Q122791,203-933-3
Q131189,200-827-9
Q132298,215-181-3
Q132501,200-289-5
Q139200,200-014-9
Q139199,204-469-4
Q138742,204-624-6
Q138809,232-233-0
Q142880,200-251-8
Q143263,200-352-7
Q151313,200-815-3
Q151797,201-148-0
Q150744,203-967-9
Q150925,204-018-1
Q151038,211-126-2
Q150731,214-300-6
Q159096,232-054-8
Q162867,200-240-8
Q161233,200-579-1
Q161601,200-891-8
Q161521,203-786-5
Q161557,203-854-4
Q161555,207-329-0
Q161507,208-826-5
Q161292,210-014-0
Q161510,210-109-7
Q161219,215-744-3
Q161580,220-532-9
Q161541,225-533-8
Q161503,271-039-0
Q163648,200-024-3
Q167934,200-058-9
Q165949,201-204-4
Q170545,200-568-1
Q170167,204-289-6
Q171701,211-332-2
Q172949,233-307-5
Q176486,202-433-2
Q177540,232-315-6
Q186242,200-096-6
Q184564,200-139-9
Q184630,231-211-8
Q184967,234-577-7
Q186474,200-158-2
Q188017,200-460-4
Q190012,200-389-9
Q189090,200-870-3
Q190227,207-838-8
Q190077,215-222-5
Q191700,200-618-2
Q192437,207-824-1
Q190865,231-760-3
Q194406,200-319-7
Q193956,231-512-4
Q196473,240-540-6
Q202218,200-467-2
Q204639,209-170-2
Q204986,215-248-7
Q204962,231-999-3
Q204783,232-001-9
Q205005,232-208-4
Q206690,233-660-5
Q204384,235-180-1
Q205374,235-185-9
Q207877,232-260-8
Q208451,233-140-8
Q209685,200-313-4
Q209467,201-993-5
Q209379,204-596-5
Q209336,207-962-2
Q209343,208-066-4
Q209438,208-594-5
Q212553,203-615-4
Q215281,233-245-9
Q220676,206-993-9
Q222936,200-909-4
Q221307,204-662-3
Q223092,206-099-9
Q223083,208-174-1
Q221123,208-863-7
Q223103,209-643-3
Q223080,213-173-4
Q225854,201-668-8
Q225543,207-889-6
Q229987,202-785-7
Q229976,204-399-4
Q229999,211-720-1
Q239729,231-906-6
Q243992,203-727-3
Q248466,231-683-5
Q253746,204-482-5
Q252536,215-134-7
Q256502,207-334-8
Q259374,202-014-4
Q259997,232-259-2
Q263284,229-891-6
Q266210,201-075-4
Q265414,232-094-6
Q271643,232-911-6
Q278332,203-726-8
Q278809,227-813-5
Q278387,231-840-8
Q283917,200-842-0
Q283427,233-060-3
Q284201,202-504-8
Q286939,204-877-2
Q286192,204-878-8
Q285640,210-483-1
Q284549,231-673-0
Q287787,211-774-6
Q296694,231-600-2
Q296363,244-344-1
Q302204,257-102-5
Q305364,203-729-4
Q303961,206-669-7
Q304850,216-087-5
Q309033,211-057-8
Q309038,231-784-4
Q312244,202-876-1
Q312251,203-398-6
Q310473,204-493-5
Q319541,204-420-7
Q321285,206-147-9
Q328692,206-019-2
Q326224,220-598-5
Q334599,232-066-3
Q337285,214-185-2
Q339734,203-484-3
Q339940,204-823-8
Q341312,420-050-0
Q342717,200-614-0
Q367994,205-861-8
Q372524,202-860-4
Q371940,232-146-8
Q377339,203-545-4
Q380055,203-825-6
Q379359,241-089-8
Q382703,241-668-5
Q385140,204-287-5
Q384709,220-036-2
Q388740,210-838-0
Q390305,231-679-3
Q392227,201-647-3
Q394317,206-187-7
Q400082,205-934-4
Q407426,200-470-9
Q409304,200-820-0
Q408047,200-835-2
Q407918,200-837-3
Q408998,201-029-3
Q409373,201-180-5
Q408215,201-201-8
Q408739,202-701-9
Q410107,202-704-5
Q408984,202-830-0
Q408865,203-585-2
Q409178,203-631-1
Q407796,203-677-2
Q408240,203-690-3
Q410190,203-782-3
Q410234,203-813-0
Q409682,204-273-9
Q407153,205-500-4
Q410185,205-599-4
Q407373,205-699-8
Q408908,206-017-1
Q410529,206-059-0
Q408184,207-432-0
Q408732,207-635-4
Q409608,208-031-3
Q408815,209-322-8
Q409554,209-691-5
Q410156,211-162-9
Q410120,212-728-8
Q407232,213-997-4
Q407467,215-208-9
Q407709,215-270-7
Q407418,218-690-9
Q409082,219-452-7
Q409676,222-657-4
Q409171,231-748-8
Q409707,231-749-3
Q408929,231-766-6
Q409241,231-829-8
Q407867,231-843-4
Q407300,231-908-7
Q408887,232-028-6
Q410203,232-235-1
Q409903,233-031-5
Q410193,233-136-6
Q408323,233-172-2
Q407833,234-128-5
Q408470,234-809-7
Q409156,235-654-8
Q409288,237-260-1
Q408810,237-323-3
Q407895,241-004-4
Q409401,246-563-8
Q411084,200-464-6
Q412622,200-556-6
Q412033,200-929-3
Q411138,201-001-0
Q411317,201-103-5
Q413566,201-200-2
Q414439,201-254-7
Q410882,201-607-5
Q414809,201-622-7
Q411208,201-748-2
Q411677,202-050-0
Q414501,202-348-0
Q412979,202-503-2
Q412882,202-978-6
Q412270,203-306-4
Q414902,203-559-0
Q412377,203-571-6
Q411314,203-618-0
Q410597,203-623-8
Q411272,203-672-5
Q411496,203-714-2
Q412118,203-728-9
Q412350,203-770-8
Q413328,203-807-8
Q413491,204-006-6
Q411303,204-043-8
Q412460,204-126-9
Q412316,204-341-8
Q413755,204-402-9
Q411695,205-167-5
Q412815,205-552-8
Q410621,205-565-9
Q414526,205-735-1
Q413130,205-964-8
Q411022,206-614-7
Q412356,206-991-8
Q412371,207-340-0
Q414724,209-242-3
Q412399,209-260-1
Q413611,209-481-3
Q412597,211-472-4
Q413507,211-914-6
Q411394,215-128-4
Q410749,215-174-5
Q410985,215-266-5
Q414023,217-406-0
Q410888,226-394-6
Q414484,226-806-4
Q413471,231-441-9
Q412645,231-904-5
Q412950,231-970-5
Q413722,231-974-7
Q413540,232-095-1
Q411337,232-104-9
Q411671,232-138-4
Q411616,232-185-0
Q411060,232-234-6
Q414607,232-236-7
Q414657,233-036-2
Q411279,233-047-2
Q413847,233-110-4
Q411014,233-826-7
Q411162,234-746-5
Q412278,236-670-8
Q412492,236-760-7
Q414389,237-367-3
Q412333,240-898-3
Q411656,244-214-4
Q411286,245-387-9
Q411950,245-477-8
Q412580,245-716-6
Q412423,266-257-8
Q413587,410-400-0
Q412933,410-690-9
Q417731,200-227-7
Q416005,200-629-2
Q415988,200-666-4
Q417320,200-833-1
Q418683,201-435-0
Q415103,201-469-6
Q415612,201-557-4
Q416393,201-765-5
Q416298,202-619-3
Q416579,202-924-1
Q419453,202-981-2
Q415359,203-378-7
Q417852,203-462-3
Q417847,203-570-0
Q415979,203-572-1
Q417713,203-744-6
Q416222,203-751-4
Q416271,203-794-9
Q418985,204-409-7
Q419645,204-575-0
Q416239,204-783-1
Q419070,204-933-6
Q416572,205-286-2
Q415869,205-838-2
Q417674,205-900-9
Q415128,205-917-1
Q417106,205-978-4
Q416435,206-323-5
Q416285,207-922-4
Q419283,207-965-9
Q416421,208-068-5
Q417067,208-590-3
Q416304,209-676-3
Q415428,210-462-7
Q416254,210-478-4
Q416086,211-653-8
Q416218,213-914-1
Q416231,214-787-5
Q418325,215-241-9
Q417806,215-273-3
Q418247,216-428-8
Q418720,216-491-1
Q417958,222-191-1
Q417394,223-795-8
Q418556,223-888-3
Q415341,228-200-5
Q417003,228-973-9
Q416637,230-625-6
Q417420,231-728-9
Q416538,231-975-2
Q416871,232-064-2
Q417906,232-131-6
Q419385,232-154-1
Q419390,233-001-1
Q417086,233-152-3
Q416894,233-163-3
Q416904,233-969-5
Q419209,234-123-8
Q417611,234-501-2
Q417022,234-840-6
Q415512,235-016-9
Q417658,235-228-1
Q419488,236-501-8
Q419619,237-423-7
Q418796,237-555-4
Q419379,238-438-1
Q417165,240-981-4
Q419053,247-724-5
Q419635,260-763-2
Q419643,260-818-0
Q418421,405-060-5
Q420891,200-076-7
Q421768,200-366-3
Q423746,200-603-0
Q421198,200-755-8
Q421729,200-819-5
Q420955,200-832-6
Q423133,200-846-2
Q421801,200-848-3
Q423046,200-894-4
Q422755,200-911-5
Q421509,200-922-5
Q419811,201-550-6
Q422473,201-598-8
Q423922,201-778-6
Q419781,202-193-9
Q421008,202-393-6
Q420043,202-590-7
Q421246,202-958-7
Q422311,203-138-1
Q421143,203-300-1
Q422779,203-481-7
Q420331,203-558-5
Q422777,203-721-0
Q420652,203-784-4
Q421530,203-875-9
Q420346,203-965-8
Q422590,204-010-8
Q419672,204-466-8
Q423005,204-497-7
Q422627,205-582-1
Q421383,205-748-3
Q422241,205-788-1
Q420238,206-025-5
Q423957,206-030-2
Q423211,206-695-9
Q420820,207-321-7
Q421032,207-336-9
Q421064,207-341-6
Q423157,207-440-4
Q422662,207-586-9
Q421344,207-799-7
Q420493,208-061-7
Q423971,208-534-8
Q423614,208-596-6
Q420473,209-675-8
Q420491,209-740-0
Q421766,209-803-2
Q422748,211-713-3
Q423956,211-892-8
Q423860,213-666-4
Q419946,214-927-5
Q422714,215-133-1
Q420515,215-255-5
Q421283,217-992-8
Q420079,219-746-5
Q423633,220-281-5
Q420143,221-409-2
Q421278,222-212-4
Q422930,231-212-3
Q419673,231-726-8
Q419812,231-964-2
Q420300,232-166-7
Q422847,232-189-2
Q423901,232-552-5
Q423619,233-088-6
Q421389,233-116-7
Q421212,233-237-5
Q419721,233-378-2
Q421128,233-799-1
Q421106,233-820-4
Q419676,234-320-9
Q419879,234-849-5
Q421235,236-921-1
Q421270,237-062-5
Q420281,237-282-1
Q421028,245-254-5
Q420039,247-816-5
Q423091,249-205-9
Q419732,251-899-3
Q421576,252-615-0
Q421401,253-043-6
Q423989,200-278-5
Q426660,200-466-7
Q425330,201-329-4
Q424800,201-380-2
Q424000,202-854-1
Q425988,203-964-2
Q424919,204-133-7
Q426819,204-331-3
Q424986,205-725-8
Q424915,209-530-9
Q424784,212-073-8
Q425180,215-076-2
Q425065,215-117-4
Q425397,229-912-9
Q424958,232-011-3
Q425073,232-057-4
Q425229,232-061-6
Q425248,232-124-8
Q425236,232-222-0
Q425240,233-401-6
Q424250,234-771-1
Q424954,236-691-2
Q424803,236-904-9
Q424900,237-533-5
Q424767,255-881-6
Q424796,265-268-5
Q429022,201-383-9
Q485277,200-745-3
Q489234,201-112-4
Q517266,203-767-1
Q532908,240-934-8
Q546957,200-453-6
Q571037,218-853-4
Q576630,205-910-3
Q613394,204-800-2
Q617253,215-165-6
Q636634,234-432-8
